Designator,Footprint,Quantity,Value,LCSC Part #
AE1,U.FL_Molex_MCRF_73412-0110_Vertical,1,Antenna,
BZ1,PUIAudio_SMT_0825_S_4_R,1,Buzzer,
"C1, C10, C2, C3, C4, C8, C9",0402,7,100nF,
"C11, C7",0402,2,5.6pF,
"C5, C6",0402,2,15pF,
"J8, J9",BatteryClip_Keystone_54_D16-19mm,2,Keystone 54,
L1,0402,1,27nH,
"LED1, LED2, LED3",LED_MX_6028R,3,MX_LED_6028R,
"MOUSE-BITE-2MM-SLOT_4, MOUSE-BITE-2MM-SLOT_3, MOUSE-BITE-2MM-SLOT_2, MOUSE-BITE-2MM-SLOT",mouse-bite-2mm-slot,4,VAL**,
"MX1, MX2, MX3",SW_MX_HS_CPG151101S11_1u,3,MX_SW_HS,
Q1,SOT-23,1,MMBT2222A,
R1,0402,1,1k R,
R2,0402,1,220R,
R3,0402,1,56k,
U3,Texas_RGP0020H_VQFN-20-1EP_4x4mm_P0.5mm_EP2.4x2.4mm,1,CC1101,
U4,Balun_Johanson_0896BM15A0001,1,HHM1591D1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,26MHz,
